SentenceID,Formality,Sentence
3D1TUISJWHZ3X38ICFUZ8CHJC9KIUW,5.8,"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment."
3GKAWYFRAOS9XNK03FUU79E7CNKDPT,5.2,"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program."
3VMHWJRYHUFB4G0NGCZ1PM3VQZ8XFB,5.2,"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment."
3NFWQRSHVDD0IU5XR2ZX1030N9CFG1,4.8,"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion."
359AP8GAGFJAMPAM7X52NH54RT17CF,5.6,"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4."
3THR0FZ95OSAAZWR1WF31MHMBRQLO0,4.4,16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.
30P8I9JKOHKRYU23ALLAFPFXLUN5VY,4.6,"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket."
3SR6AEG6W4SKIHH3GY93BLMH8KFHYZ,4.8,"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009."
39AYGO6AFEJA9TT8DD9OXEZKVMVN6E,5.2,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009."
34XASH8KLPLC1HQDG8TXQZ11L1BPMM,1.6,1. bluetooth isn't turned on prior to trying to connect
3UQVX1UPFRGJ6WI0P5VNWPMV7OJ020,1.4,1) Check out this random object we found at a thrift store (via the link below).
3HA5ODM5K9RS4W0EMHYI80PPZEUVSP,4.2,1. Go into the printers control panel and choose Printer > Add Printer.
3AJA9FLWSBXEELBSHQZ0MCGG2M4FIT,2.4,1. Go to System/Administration/Printing 2.
3XABXM4AJ04IG4POMKY3LMQG6S98Q9,2.4,1. I have no clue.
3EN4YVUOUBRR9IMJZ2QM4KVNJ6PXJE,3.8,"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?"
3BFF0DJK8WBDR4WPHMY37I142TEST6,2.2,1. Is Levi Johnston screwing with all of us?
35JDMRECC388CG51WRFRJII0B8YGEL,2.4,1) Kids love coming here if they enjoy the great outdoors.
3MYASTQBG6AUXZLF3S9J7E4HHJ6DQK,3.0,1) make sure that there is a valid driver for your printer in ubuntu.
3P7QK0GJ3SKG8HOQTZ8F2OPHPV22ZU,4.0,1.) The European Union strikes a climate financing deal.
3IH9TRB0FAYNO6HKARKFXACM1CLI1V,1.4,1. Where should we park to do this.
3TRB893CSI9N31QR9J1LD8QJPLT7GP,4.2,$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.
3CVDZS288GZ0A41J25XSE5NXJVOFM9,4.4,20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.
3OQQD2WO8H5JY9VZXVYYL3RJZWZI3N,4.8,"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida."
36KM3FWE3QBQSXF6VHCISG33I4507G,5.4,"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009."
3L84EBDQ361G02TUI4B9F5NY2MAKKB,4.0,"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009."
3EFNPKWBMRN8REEJT59SFZRND2J30E,3.6,"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009."
3J9UN9O9J2RJCSG8WQ1FV68C9Z5J06,4.2,"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida."
3IVEC1GSLOYJJH1QS95F9BRMERBJ19,4.6,"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla."
